moteur,requete,doc_top1,score_top1,doc_top2,score_top2,doc_top3,score_top3,doc_top4,score_top4,doc_top5,score_top5,doc_top6,score_top6,doc_top7,score_top7,doc_top8,score_top8,doc_top9,score_top9,doc_top10,score_top10,trouve_ou_non
tfidf,langue roumain,wiki_066072.txt,6.6587702429080995,wiki_108139.txt,4.64582087171481,wiki_098464.txt,4.368707362438696,wiki_058433.txt,4.085761670282995,wiki_076757.txt,4.042074538277782,wiki_073990.txt,3.6610747883632384,wiki_068615.txt,3.5575807881562826,wiki_076519.txt,3.363278451298458,wiki_093016.txt,2.994563132580197,wiki_105301.txt,2.9831870841978105,OUI
tfidf,langue roumanie,wiki_099964.txt,6.411821316952284,wiki_108139.txt,4.651193642182283,wiki_058433.txt,4.090711562925186,wiki_076757.txt,4.046915425597619,wiki_073990.txt,3.6654067632333764,wiki_068615.txt,3.560815761084204,wiki_076519.txt,3.367034229327744,wiki_098464.txt,3.0836594037053926,wiki_093016.txt,2.9977404652704656,wiki_105301.txt,2.986474213633786,OUI
tfidf,énergie marine,wiki_090261.txt,7.414751181319386,wiki_082743.txt,5.904357360219724,wiki_072045.txt,4.819784230591603,wiki_075387.txt,4.695623908011997,wiki_102194.txt,3.907649301929718,wiki_002699.txt,3.5925935792640873,wiki_078765.txt,3.571247546458191,wiki_094224.txt,3.4857017242087096,wiki_032315.txt,3.383771231327499,wiki_028578.txt,3.3074940694656396,OUI
tfidf,définition énergie des mers,wiki_090261.txt,9.155768698759898,wiki_082743.txt,5.882007367602516,wiki_094224.txt,4.989298718011083,wiki_075387.txt,4.678978734091934,wiki_044774.txt,4.2633133622795905,wiki_102194.txt,3.8933610396211957,wiki_098098.txt,3.8227145910649796,wiki_002699.txt,3.5770202895609504,wiki_078765.txt,3.5563939069008295,wiki_029196.txt,3.4552148580222255,OUI
tfidf,où est tianjin,wiki_013117.txt,9.290484550236977,,,,,,,,,,,,,,,,,,,OUI
tfidf,tianjin chine,wiki_013117.txt,12.770085639458909,wiki_060088.txt,4.6624931362218245,wiki_013271.txt,4.582459186301765,wiki_062857.txt,4.044349372034444,wiki_070405.txt,3.9834998987103702,wiki_013306.txt,3.925139615822101,wiki_041842.txt,3.9132194528548796,wiki_054732.txt,3.4431991294369637,wiki_118061.txt,3.2094618211490378,wiki_000862.txt,3.0542872344430845,OUI
tfidf,château de gaillard,wiki_090155.txt,13.131641591608334,wiki_068087.txt,4.81406996027101,wiki_062953.txt,4.609150376510607,wiki_025851.txt,4.108083012286875,wiki_070215.txt,3.2782660013206617,wiki_055283.txt,2.792873956981413,wiki_045433.txt,2.6438332738060675,wiki_053173.txt,2.601037939057216,wiki_042958.txt,2.5885646965545264,wiki_004889.txt,2.585358795837056,OUI
tfidf,chateau gaillard,wiki_090155.txt,13.131641591608334,wiki_068087.txt,4.81406996027101,wiki_062953.txt,4.609150376510607,wiki_025851.txt,4.108083012286875,wiki_070215.txt,3.2782660013206617,wiki_055283.txt,2.792873956981413,wiki_045433.txt,2.6438332738060675,wiki_053173.txt,2.601037939057216,wiki_042958.txt,2.5885646965545264,wiki_004889.txt,2.585358795837056,OUI
tfidf,qu'est-ce que la 6e armée,wiki_016480.txt,9.758766961348147,wiki_011198.txt,6.955276547704917,wiki_069878.txt,3.4565647520751126,wiki_013083.txt,3.426929981293406,wiki_044519.txt,3.4047608405922647,wiki_093685.txt,3.310565748929509,wiki_091260.txt,3.1342376783984847,wiki_054206.txt,3.0854917813394556,wiki_039825.txt,2.681116087670282,wiki_107548.txt,2.5948491458300373,OUI
tfidf,6e armee ottomane,wiki_016480.txt,13.560154846546238,wiki_011198.txt,6.9278010266380905,wiki_112022.txt,5.560310808328178,wiki_046669.txt,4.109282725616447,wiki_080341.txt,3.916863934188523,wiki_069878.txt,3.4379534419366693,wiki_013083.txt,3.410616124430011,wiki_044519.txt,3.3894092573880292,wiki_093685.txt,3.2993572714290202,wiki_091260.txt,3.1258522430371936,OUI
