moteur,requete,doc_top1,score_top1,doc_top2,score_top2,doc_top3,score_top3,doc_top4,score_top4,doc_top5,score_top5,trouve_ou_non
bm25,langue roumain,wiki_066072.txt,12.168178716186254,wiki_098464.txt,8.585283822761777,wiki_108139.txt,8.159284933684118,wiki_058433.txt,7.444964553808636,wiki_076757.txt,7.380900819792579,OUI
bm25,langue roumanie,wiki_099964.txt,12.435859843410983,wiki_108139.txt,8.159284933684118,wiki_058433.txt,7.444964553808636,wiki_076757.txt,7.380900819792579,wiki_073990.txt,6.8779271574214285,OUI
bm25,énergie marine,wiki_090261.txt,14.451474443524113,wiki_082743.txt,10.258989108188718,wiki_072045.txt,8.81914106369754,wiki_075387.txt,8.667692001193208,wiki_102194.txt,7.507445521326465,OUI
bm25,définition énergie des mers,wiki_090261.txt,17.65678565717858,wiki_082743.txt,10.258989108188718,wiki_094224.txt,10.066311431746737,wiki_098098.txt,8.779856662408884,wiki_075387.txt,8.667692001193208,OUI
bm25,où est tianjin,wiki_013117.txt,16.801227362980605,,,,,,,,,OUI
bm25,tianjin chine,wiki_013117.txt,23.732006081476783,wiki_060088.txt,8.6278935379771,wiki_013271.txt,8.525751467104211,wiki_062857.txt,7.704904596544006,wiki_070405.txt,7.6678629782147265,OUI
bm25,château de gaillard,wiki_090155.txt,24.223728044167483,wiki_068087.txt,8.68403359761111,wiki_062953.txt,8.387770776815266,wiki_025851.txt,7.734319601839955,wiki_070215.txt,6.502057993017605,OUI
bm25,chateau gaillard,wiki_090155.txt,24.223728044167483,wiki_068087.txt,8.68403359761111,wiki_062953.txt,8.387770776815266,wiki_025851.txt,7.734319601839955,wiki_070215.txt,6.502057993017605,OUI
bm25,qu'est-ce que la 6e armée,wiki_016480.txt,17.778593264052326,wiki_011198.txt,13.457605580299504,wiki_013083.txt,8.001117684561725,wiki_044519.txt,7.194084616776518,wiki_069878.txt,7.026948158043753,OUI
bm25,6e armee ottomane,wiki_016480.txt,25.564455047781912,wiki_011198.txt,13.457605580299504,wiki_112022.txt,11.246371532044794,wiki_046669.txt,8.447030078931114,wiki_013083.txt,8.001117684561725,OUI
bm25,course à pied,wiki_042186.txt,15.14204667675633,wiki_019479.txt,12.479014605536896,wiki_024632.txt,10.662384639296878,wiki_046503.txt,8.523434697035114,wiki_116705.txt,8.446552112780097,OUI
bm25,trail,wiki_042186.txt,15.746121966013337,wiki_046295.txt,11.164026740034739,wiki_081831.txt,6.743780877948302,,,,,OUI
bm25,david guetta,wiki_101989.txt,23.972853042001958,wiki_087117.txt,8.902281315060282,wiki_102668.txt,8.195522588682685,wiki_106371.txt,7.842878194977992,wiki_040507.txt,7.088752457219473,OUI
